%Afkomstig uit HR2006 = HR2001
%Door: Chris Geerse
%Datum: 21 april 2009
%
%PIEKAFVOER	TIJD	AFVOER
17250	9.7625	9000
17250	10.64583333	8500
17250	11.575	8000
17250	12.92083333	7500
17250	13.60416667	7250
17250	14.52083333	7000
17250	15.85	6750
17250	16.9625	6500
17250	18.1375	6250
17250	19.35833333	6000
17250	20.02894523	5750
17250	20.72280228	5500
17250	21.41708859	5250
17250	22.08016801	5000
17250	22.71556671	4750
17250	23.34941055	4500
17250	24.00203021	4250
17250	24.67179246	4000
17250	25.34253728	3750
17250	26.01328532	3500
17250	26.70042009	3250
17250	27.41862871	3000
17250	28.1955852	2750
17250	29.03432093	2500
17250	29.91595176	2250
17250	30.8173441	2000
17250	31.70777605	1750
17250	32.56604519	1500
17250	33.39274657	1250
17250	34.11765214	1000
17250	34.57238574	750
17250	34.70887229	500
17250	34.73264346	250
17250	34.73864346	0
18737	-27.07854008	0
18737	-27.07454008	250
18737	-27.05869264	500
18737	-26.96770161	750
18737	-26.66454587	1000
18737	-26.18127549	1250
18737	-25.63014124	1500
18737	-25.05796181	1750
18737	-24.46434051	2000
18737	-23.86341229	2250
18737	-23.2756584	2500
18737	-22.71650125	2750
18737	-22.19853025	3000
18737	-21.71972451	3250
18737	-21.26163466	3500
18737	-20.8144693	3750
18737	-20.36730609	4000
18737	-19.92079792	4250
18737	-19.48571815	4500
18737	-19.06315559	4750
18737	-18.63955645	5000
18737	-18.19750351	5250
18737	-17.73464597	5500
18737	-17.2720746	5750
18737	-16.825	6000
18737	-16.42083333	6250
18737	-15.95416667	6500
18737	-15.20833333	6750
18737	-14.3	7000
18737	-13.525	7250
18737	-12.95416667	7500
18737	-11.72083333	8000
18737	-10.81666667	8500
18737	-10.225	9000
18737	-9.683333333	9500
18737	-8.995833333	10000
18737	-8.208333333	10500
18737	-7.470833333	11000
18737	-6.808333333	11500
18737	-5.995833333	12000
18737	-5.458333333	12500
18737	-4.858333333	13000
18737	-4.241666667	13500
18737	-3.666666667	14000
18737	-3.325	14500
18737	-2.95	15000
18737	-2.566666667	15500
18737	-2.216666667	16000
18737	-1.908333333	16500
18737	-1.579166667	17000
18737	-1.183333333	17500
18737	-0.7875	18000
18737	0	18737
18737	1.1	18000
18737	1.4625	17500
18737	1.791666667	17000
18737	2.0875	16500
18737	2.429166667	16000
18737	2.920833333	15500
18737	3.395833333	15000
18737	3.791666667	14500
18737	4.258333333	14000
18737	4.783333333	13500
18737	5.441666667	13000
18737	6.0625	12500
