%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 7 okt 2008.
%
%Bron:
%Overschrijdingsfrequentie OF volgens Hydra-M HR2006 ("Of_mptop.dmm").
%Dagenlijnen volgens Hydra-M HR2006 ("Of_mpdag.dmm").
%
% NB: aan het eind van het bestand geen monotone afname OF en OD meer, door te kleine getallen.
%
%
%m, m+NAP     OF, 1/whjaar	       OD, dag/whjaar        Dwest, dag/whjaar     ODoost, dag/whjaar
-0.40            6.1408041309          92.2420383215         53.1314140732         39.2951083250
1.55		 0.0000000101	        0.0000000051          0.0000000029          0.0000000022
1.56		 0.0000000091	        0.0000000046          0.0000000026          0.0000000019
1.57		 0.0000000082	        0.0000000041          0.0000000024          0.0000000018
1.58		 0.0000000074	        0.0000000037          0.0000000021          0.0000000016
1.59		 0.0000000067	        0.0000000033          0.0000000019          0.0000000014
1.60		 0.0000000060	        0.0000000030          0.0000000017          0.0000000013
1.61		 0.0000000054	        0.0000000027          0.0000000016          0.0000000012
1.62		 0.0000000049	        0.0000000025          0.0000000014          0.0000000010
1.63		 0.0000000044	        0.0000000022          0.0000000013          0.0000000009
1.64		 0.0000000040	        0.0000000020          0.0000000011          0.0000000008
1.65		 0.0000000036	        0.0000000018          0.0000000010          0.0000000008
1.66		 0.0000000032	        0.0000000016          0.0000000009          0.0000000007
1.67		 0.0000000029	        0.0000000015          0.0000000008          0.0000000006
1.68		 0.0000000026	        0.0000000013          0.0000000008          0.0000000006
1.69		 0.0000000024	        0.0000000012          0.0000000007          0.0000000005
1.70		 0.0000000021	        0.0000000011          0.0000000006          0.0000000005
1.71		 0.0000000019	        0.0000000010          0.0000000006          0.0000000004
1.72		 0.0000000017	        0.0000000009          0.0000000005          0.0000000004
1.73		 0.0000000016	        0.0000000008          0.0000000005          0.0000000003
1.74		 0.0000000014	        0.0000000007          0.0000000004          0.0000000003
1.75		 0.0000000013	        0.0000000006          0.0000000004          0.0000000003
1.76		 0.0000000011	        0.0000000006          0.0000000003          0.0000000002
1.77		 0.0000000010	        0.0000000005          0.0000000003          0.0000000002
1.78		 0.0000000009	        0.0000000005          0.0000000003          0.0000000002
1.79		 0.0000000008	        0.0000000004          0.0000000002          0.0000000002
1.80		 0.0000000008	        0.0000000004          0.0000000002          0.0000000002
