*
* Overschrijdingskansen potentiele windsnelheid Deelen. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 37.00      1.245e-12      3.533e-12      3.714e-12      1.433e-12      2.851e-13      1.240e-13      4.459e-12      2.044e-11      8.167e-10      1.674e-07      3.997e-07      7.351e-07      3.055e-07      9.863e-08      1.419e-10      1.710e-12 
 37.50      7.901e-13      2.296e-12      2.421e-12      9.244e-13      1.834e-13      7.690e-14      2.941e-12      1.352e-11      5.728e-10      1.307e-07      3.126e-07      5.794e-07      2.381e-07      7.570e-08      9.657e-11      1.085e-12 
 38.00      5.015e-13      1.493e-12      1.578e-12      5.962e-13      1.180e-13      4.770e-14      1.940e-12      8.945e-12      4.017e-10      1.020e-07      2.444e-07      4.566e-07      1.856e-07      5.810e-08      6.573e-11      6.889e-13 
 38.50      3.183e-13      9.703e-13      1.028e-12      3.845e-13      7.598e-14      2.959e-14      1.280e-12      5.917e-12      2.818e-10      7.961e-08      1.911e-07      3.599e-07      1.447e-07      4.459e-08      4.474e-11      4.373e-13 
 39.00      2.020e-13      6.308e-13      6.702e-13      2.480e-13      4.892e-14      1.836e-14      8.449e-13      3.914e-12      1.976e-10      6.214e-08      1.494e-07      2.836e-07      1.129e-07      3.422e-08      3.045e-11      2.776e-13 
 39.50      1.282e-13      4.101e-13      4.368e-13      1.599e-13      3.150e-14      1.139e-14      5.577e-13      2.589e-12      1.386e-10      4.851e-08      1.169e-07      2.235e-07      8.804e-08      2.627e-08      2.073e-11      1.762e-13 
 40.00      8.140e-14      2.666e-13      2.847e-13      1.031e-13      2.028e-14      7.066e-15      3.681e-13      1.713e-12      9.721e-11      3.787e-08      9.138e-08      1.762e-07      6.868e-08      2.016e-08      1.411e-11      1.118e-13 
 40.50      5.167e-14      1.734e-13      1.856e-13      6.652e-14      1.306e-14      4.384e-15      2.430e-13      1.133e-12      6.818e-11      2.956e-08      7.146e-08      1.389e-07      5.359e-08      1.547e-08      9.603e-12      7.098e-14 
 41.00      3.280e-14      1.127e-13      1.209e-13      4.290e-14      8.413e-15      2.720e-15      1.605e-13      7.496e-13      4.782e-11      2.308e-08      5.588e-08      1.094e-07      4.182e-08      1.188e-08      6.537e-12      4.505e-14 
 41.50      2.082e-14      7.332e-14      7.883e-14      2.767e-14      5.419e-15      1.688e-15      1.060e-13      4.959e-13      3.354e-11      1.801e-08      4.370e-08      8.625e-08      3.264e-08      9.116e-09      4.449e-12      2.860e-14 
 42.00      1.321e-14      4.769e-14      5.138e-14      1.785e-14      3.491e-15      1.047e-15      6.998e-14      3.280e-13      2.353e-11      1.406e-08      3.417e-08      6.797e-08      2.548e-08      6.996e-09      3.029e-12      1.815e-14 
