% Status data:	Final
%																
% Typ of data:	Exceedance Probability Table                                                                                                                                                                            															
%
%																
%	NOORD		30		60		OOST		120		150		ZUID		210		240		WEST		300		330
%Wind speed	1	2	 	3		4		5		6		7		8		9		10		11		12
34.5	9.77303E-10	7.78377E-13	1.65889E-10	3.05715E-10	7.56277E-10	2.91327E-09	3.76340E-08	8.09384E-08	3.41320E-06	3.63421E-06	3.73135E-07	4.12942E-08
35	6.65262E-10	4.59854E-13	1.10478E-10	2.09320E-10	5.22193E-10	2.03834E-09	2.68447E-08	5.79949E-08	2.59718E-06	2.80478E-06	2.78535E-07	3.00316E-08
35.5	4.52852E-10	2.71672E-13	7.35754E-11	1.43319E-10	3.60563E-10	1.42617E-09	1.91486E-08	4.15551E-08	1.97625E-06	2.16465E-06	2.07918E-07	2.18408E-08
36	3.08262E-10	1.60538E-13	4.89992E-11	9.81295E-11	2.48961E-10	9.97850E-10	1.36589E-08	2.97756E-08	1.50377E-06	1.67061E-06	1.55205E-07	1.58839E-08
36.5	2.09838E-10	9.48130E-14	3.26322E-11	6.71885E-11	1.71902E-10	6.98169E-10	9.74306E-09	2.13351E-08	1.14426E-06	1.28933E-06	1.15856E-07	1.15517E-08
37	1.42839E-10	5.59552E-14	2.17322E-11	4.60033E-11	1.18695E-10	4.88489E-10	6.94983E-09	1.52873E-08	8.70689E-07	9.95068E-07	8.64833E-08	8.40112E-09
37.5	9.72324E-11	3.30846E-14	1.44731E-11	3.14981E-11	8.19563E-11	3.41783E-10	4.95739E-09	1.09538E-08	6.62527E-07	7.67964E-07	6.45574E-08	6.10980E-09
38	6.61873E-11	1.95399E-14	9.63873E-12	2.15664E-11	5.65891E-11	2.39136E-10	3.53616E-09	7.84875E-09	5.04132E-07	5.92693E-07	4.81902E-08	4.44341E-09
38.5	4.50546E-11	1.15463E-14	6.41909E-12	1.47664E-11	3.90735E-11	1.67317E-10	2.52238E-09	5.62388E-09	3.83605E-07	4.57423E-07	3.59726E-08	3.23151E-09
39	3.06692E-11	6.77236E-15	4.27502E-12	1.01104E-11	2.69795E-11	1.17067E-10	1.79924E-09	4.02968E-09	2.91894E-07	3.53026E-07	2.68526E-08	2.35015E-09
39.5	2.08769E-11	3.99680E-15	2.84706E-12	6.92246E-12	1.86288E-11	8.19086E-11	1.28342E-09	2.88739E-09	2.22108E-07	2.72455E-07	2.00447E-08	1.70917E-09
40	1.42112E-11	2.33147E-15	1.89604E-12	4.73976E-12	1.28628E-11	5.73092E-11	9.15477E-10	2.06891E-09	1.69007E-07	2.10273E-07	1.49628E-08	1.24301E-09
40.5	9.67371E-12	1.44329E-15	1.26266E-12	3.24529E-12	8.88145E-12	4.00977E-11	6.53020E-10	1.48244E-09	1.28601E-07	1.62283E-07	1.11693E-08	9.03992E-10
41	6.58495E-12	7.77156E-16	8.40883E-13	2.22200E-12	6.13243E-12	2.80552E-11	4.65806E-10	1.06221E-09	9.78556E-08	1.25245E-07	8.33756E-09	6.57437E-10
41.5	4.48253E-12	4.44089E-16	5.59996E-13	1.52145E-12	4.23439E-12	1.96294E-11	3.32265E-10	7.61109E-10	7.44605E-08	9.66605E-08	6.22375E-09	4.78128E-10
42	3.05134E-12	2.22045E-16	3.72924E-13	1.04172E-12	2.92377E-12	1.37342E-11	2.37008E-10	5.45358E-10	5.66587E-08	7.45998E-08	4.64585E-09	3.47723E-10
